device_name,device_mac,gt_mud,n_flows,unique_remote_ip_count,hostname_resolution_count,hostname_resolution_rate,evidence_label,exact_final_prediction,exact_final_correct,exact_first_correct_at,exact_stable_correct_from,semantic_w256_final_prediction,semantic_w256_final_correct,semantic_w256_first_correct_at,semantic_w256_stable_correct_from
AmazonEcho,44:65:0d:56:cc:d3,amazonEchoMud_compact,50000,45,27,0.6,filename_name_and_mac_map,amazonEchoMud_compact,True,4.0,4.0,chromecastUltraMud_compact,False,1.0,
AugustDoorBell,e0:76:d0:3f:00:ae,augustdoorbellcamMud_compact,50000,129,125,0.9689922480620154,verified_product_alias,augustdoorbellcamMud_compact,True,1.0,7.0,augustdoorbellcamMud_compact,True,1.0,1.0
AwairAirQuality,70:88:6b:10:0f:c6,awairAirQualityMud_compact,4401,227,224,0.986784140969163,filename_name_map,awairAirQualityMud_compact,True,13.0,37.0,awairAirQualityMud_compact,True,10.0,10.0
BelkinCamera,b4:75:0e:ec:e5:a9,belkincameraMud_compact,50000,46,18,0.391304347826087,filename_name_map,belkincameraMud_compact,True,1237.0,1237.0,belkincameraMud_compact,True,1.0,8.0
BelkinWemoMotionSensor,ec:1a:59:83:28:11,wemomotionMud_compact,50000,12,2,0.1666666666666666,verified_name_alias_mac_map,wemomotionMud_compact,True,19.0,19.0,wemomotionMud_compact,True,4.0,4.0
BelkinWemoSwitch,ec:1a:59:79:f4:89,wemoswitchMud_compact,50000,14,3,0.2142857142857142,verified_name_alias_mac_map,wemomotionMud_compact,False,,,wemomotionMud_compact,False,,
BlipCareBPMeter,74:6a:89:00:2e:25,blipcareBPmeterMud_compact,48,3,1,0.3333333333333333,filename_name_and_mac_map,blipcareBPmeterMud_compact,True,4.0,4.0,blipcareBPmeterMud_compact,True,4.0,16.0
CanaryCamera,7c:70:bc:5d:5e:dc,canaryCameraMud_compact,6562,82,79,0.9634146341463414,filename_name_map,canaryCameraMud_compact,True,7.0,7.0,canaryCameraMud_compact,True,8.0,8.0
HPPrinter,70:5a:0f:e4:9b:c0,hpprinterMud_compact,7922,30,15,0.5,filename_name_and_mac_map,hpprinterMud_compact,True,17.0,17.0,hpprinterMud_compact,True,1.0,1.0
HelloBarbie,28:c2:dd:ff:a5:2d,hellobarbieMud_compact,143,30,28,0.9333333333333332,filename_name_map,hellobarbieMud_compact,True,4.0,4.0,hellobarbieMud_compact,True,4.0,4.0
LiFXBulb,d0:73:d5:01:83:08,lifxbulbMud_compact,50000,868,862,0.9930875576036866,filename_name_and_mac_map,lifxbulbMud_compact,True,1.0,1.0,lifxbulbMud_compact,True,1.0,1.0
NestDropCam,30:8c:fb:2f:e4:b2,dropcamMud_compact,2087,53,48,0.9056603773584906,filename_name_and_mac_map,dropcamMud_compact,True,60.0,60.0,dropcamMud_compact,True,1.0,63.0
NestProtect,18:b4:30:25:be:e4,nestsmokesensorMud_compact,50000,30,26,0.8666666666666667,filename_name_and_mac_map,nestsmokesensorMud_compact,True,4.0,4.0,nestsmokesensorMud_compact,True,2.0,4.0
NetatmoWeatherStation,70:ee:50:03:b8:ac,NetatmoWeatherStationMud_compact,50000,18,16,0.8888888888888888,filename_name_and_mac_map,NetatmoWeatherStationMud_compact,True,4.0,4.0,NetatmoWeatherStationMud_compact,True,4.0,4.0
NetatmoWelcome,70:ee:50:18:34:43,NetatmoCameraMud_compact,50000,121,111,0.9173553719008264,verified_name_alias_mac_map,NetatmoCameraMud_compact,True,1.0,1.0,NetatmoCameraMud_compact,True,1.0,1.0
PhilipsHue,00:17:88:2b:9a:25,HueBulbMud_compact,50000,27,16,0.5925925925925926,verified_product_alias,HueBulbMud_compact,True,113.0,113.0,HueBulbMud_compact,True,2.0,4542.0
PixStarPhotoFrame,e0:76:d0:33:bb:85,pixstarphotoframeMud_compact,10760,11,2,0.1818181818181818,filename_name_and_mac_map,pixstarphotoframeMud_compact,True,1.0,1.0,pixstarphotoframeMud_compact,True,1.0,1.0
RingDoorBell,88:4a:ea:31:66:9d,ringdoorbellMud_compact,1100,37,32,0.8648648648648649,filename_name_map,ringdoorbellMud_compact,True,4.0,4.0,ringdoorbellMud_compact,True,4.0,4.0
SamsungCamera,00:16:6c:ab:6b:88,samsungsmartcamMud_compact,50000,79,65,0.8227848101265823,filename_name_and_mac_map,samsungsmartcamMud_compact,True,1.0,1.0,samsungsmartcamMud_compact,True,1.0,8337.0
SamsungSmartThings,d0:52:a8:00:67:5e,SmartThingsMud_compact,42895,1161,1158,0.9974160206718348,verified_name_alias_mac_map,SmartThingsMud_compact,True,1.0,1.0,SmartThingsMud_compact,True,1.0,36459.0
TPLinkCamera,f4:f2:6d:93:51:f1,tplinkcameraMud_compact,19317,95,83,0.8736842105263158,filename_name_and_mac_map,tplinkcameraMud_compact,True,3.0,3.0,tplinkcameraMud_compact,True,2.0,2.0
TPLinkSmartPlug,50:c7:bf:00:56:39,tplinkplugMud_compact,12809,157,152,0.9681528662420382,filename_name_and_mac_map,tplinkplugMud_compact,True,1.0,1.0,tplinkplugMud_compact,True,1.0,1.0
TribySpeaker,18:b7:9e:02:20:44,tribyspeakerMud_compact,50000,135,130,0.9629629629629628,filename_name_and_mac_map,tribyspeakerMud_compact,True,176.0,176.0,tribyspeakerMud_compact,True,1.0,1.0
WithingsBabyMonitor,00:24:e4:11:18:a8,withingsbabymonitorMud_compact,11239,7,4,0.5714285714285714,filename_name_and_mac_map,withingsbabymonitorMud_compact,True,2.0,2.0,withingsbabymonitorMud_compact,True,2.0,2.0
WithingsSleepSensor,00:24:e4:20:28:c6,withingssleepsensorMud_compact,41207,23,17,0.7391304347826086,filename_name_and_mac_map,withingssleepsensorMud_compact,True,6.0,6.0,withingssleepsensorMud_compact,True,7.0,7.0
WithingsSmartScale,00:24:e4:1b:6f:96,withingscardioMud_compact,1279,5,2,0.4,filename_name_and_mac_map,withingssleepsensorMud_compact,False,,,withingssleepsensorMud_compact,False,,
iHome,74:c6:3b:29:d7:1d,ihomepowerplugMud_compact,50000,47,42,0.8936170212765957,filename_name_and_mac_map,ihomepowerplugMud_compact,True,1.0,1.0,ihomepowerplugMud_compact,True,1.0,1.0
